01/01/2020|Австралийский доллар|R01010|036|AUD|1|43,3835
01/01/2020|Азербайджанский манат|R01020A|944|AZN|1|36,4902
01/01/2020|Фунт стерлингов|R01035|826|GBP|1|81,3069
01/01/2020|Армянских драмов|R01060|051|AMD|100|12,9239
01/01/2020|Белорусский рубль|R01090B|933|BYN|1|29,3545
01/01/2020|Болгарский лев|R01100|975|BGN|1|35,4720
01/01/2020|Бразильский реал|R01115|986|BRL|1|15,4006
01/01/2020|Форинтов|R01135|348|HUF|100|20,9637
01/01/2020|Гонконгских долларов|R01200|344|HKD|10|79,5029
01/01/2020|Датских крон|R01215|208|DKK|10|92,8776
01/01/2020|Доллар США|R01235|840|USD|1|61,9057
01/01/2020|Евро|R01239|978|EUR|1|69,3777
01/01/2020|Индийских рупий|R01270|356|INR|100|86,8255
01/01/2020|Тенге|R01335|398|KZT|100|16,1665
01/01/2020|Канадский доллар|R01350|124|CAD|1|47,4446
01/01/2020|Сомов|R01370|417|KGS|100|88,6979
01/01/2020|Юаней|R01375|156|CNY|10|88,8696
01/01/2020|Молдавских леев|R01500|498|MDL|10|35,9917
01/01/2020|Норвежских крон|R01535|578|NOK|10|70,3834
01/01/2020|Злотый|R01565|985|PLN|1|16,3017
01/01/2020|Румынский лей|R01585F|946|RON|1|14,5005
01/01/2020|СДР (специальные права заимствования)|R01589|960|XDR|1|85,6051
01/01/2020|Сингапурский доллар|R01625|702|SGD|1|45,9958
01/01/2020|Сомони|R01670|972|TJS|10|63,8980
01/01/2020|Турецкая лира|R01700J|949|TRY|1|10,4148
01/01/2020|Новый туркменский манат|R01710A|934|TMT|1|17,7126
01/01/2020|Узбекских сумов|R01717|860|UZS|10000|65,1121
01/01/2020|Гривен|R01720|980|UAH|10|26,1205
01/01/2020|Чешских крон|R01760|203|CZK|10|27,3019
01/01/2020|Шведских крон|R01770|752|SEK|10|66,2930
01/01/2020|Швейцарский франк|R01775|756|CHF|1|63,8994
01/01/2020|Рэндов|R01810|710|ZAR|10|44,0839
01/01/2020|Вон|R01815|410|KRW|1000|53,5535
01/01/2020|Иен|R01820|392|JPY|100|56,9746
02/01/2020|Австралийский доллар|R01010|036|AUD|1|43,3835
02/01/2020|Азербайджанский манат|R01020A|944|AZN|1|36,4902
02/01/2020|Фунт стерлингов|R01035|826|GBP|1|81,3069
02/01/2020|Армянских драмов|R01060|051|AMD|100|12,9239
02/01/2020|Белорусский рубль|R01090B|933|BYN|1|29,3545
02/01/2020|Болгарский лев|R01100|975|BGN|1|35,4720
02/01/2020|Бразильский реал|R01115|986|BRL|1|15,4006
02/01/2020|Форинтов|R01135|348|HUF|100|20,9637
02/01/2020|Гонконгских долларов|R01200|344|HKD|10|79,5029
02/01/2020|Датских крон|R01215|208|DKK|10|92,8776
02/01/2020|Доллар США|R01235|840|USD|1|61,9057
02/01/2020|Евро|R01239|978|EUR|1|69,3777
02/01/2020|Индийских рупий|R01270|356|INR|100|86,8255
02/01/2020|Тенге|R01335|398|KZT|100|16,1665
02/01/2020|Канадский доллар|R01350|124|CAD|1|47,4446
02/01/2020|Сомов|R01370|417|KGS|100|88,6979
02/01/2020|Юаней|R01375|156|CNY|10|88,8696
02/01/2020|Молдавских леев|R01500|498|MDL|10|35,9917
02/01/2020|Норвежских крон|R01535|578|NOK|10|70,3834
02/01/2020|Злотый|R01565|985|PLN|1|16,3017
02/01/2020|Румынский лей|R01585F|946|RON|1|14,5005
02/01/2020|СДР (специальные права заимствования)|R01589|960|XDR|1|85,6051
02/01/2020|Сингапурский доллар|R01625|702|SGD|1|45,9958
02/01/2020|Сомони|R01670|972|TJS|10|63,8980
02/01/2020|Турецкая лира|R01700J|949|TRY|1|10,4148
02/01/2020|Новый туркменский манат|R01710A|934|TMT|1|17,7126
02/01/2020|Узбекских сумов|R01717|860|UZS|10000|65,1121
02/01/2020|Гривен|R01720|980|UAH|10|26,1205
02/01/2020|Чешских крон|R01760|203|CZK|10|27,3019
02/01/2020|Шведских крон|R01770|752|SEK|10|66,2930
02/01/2020|Швейцарский франк|R01775|756|CHF|1|63,8994
02/01/2020|Рэндов|R01810|710|ZAR|10|44,0839
02/01/2020|Вон|R01815|410|KRW|1000|53,5535
02/01/2020|Иен|R01820|392|JPY|100|56,9746
03/01/2020|Австралийский доллар|R01010|036|AUD|1|43,3835
03/01/2020|Азербайджанский манат|R01020A|944|AZN|1|36,4902
03/01/2020|Фунт стерлингов|R01035|826|GBP|1|81,3069
03/01/2020|Армянских драмов|R01060|051|AMD|100|12,9239
03/01/2020|Белорусский рубль|R01090B|933|BYN|1|29,3545
03/01/2020|Болгарский лев|R01100|975|BGN|1|35,4720
03/01/2020|Бразильский реал|R01115|986|BRL|1|15,4006
03/01/2020|Форинтов|R01135|348|HUF|100|20,9637
03/01/2020|Гонконгских долларов|R01200|344|HKD|10|79,5029
03/01/2020|Датских крон|R01215|208|DKK|10|92,8776
03/01/2020|Доллар США|R01235|840|USD|1|61,9057
03/01/2020|Евро|R01239|978|EUR|1|69,3777
03/01/2020|Индийских рупий|R01270|356|INR|100|86,8255
03/01/2020|Тенге|R01335|398|KZT|100|16,1665
03/01/2020|Канадский доллар|R01350|124|CAD|1|47,4446
03/01/2020|Сомов|R01370|417|KGS|100|88,6979
03/01/2020|Юаней|R01375|156|CNY|10|88,8696
03/01/2020|Молдавских леев|R01500|498|MDL|10|35,9917
03/01/2020|Норвежских крон|R01535|578|NOK|10|70,3834
03/01/2020|Злотый|R01565|985|PLN|1|16,3017
03/01/2020|Румынский лей|R01585F|946|RON|1|14,5005
03/01/2020|СДР (специальные права заимствования)|R01589|960|XDR|1|85,6051
03/01/2020|Сингапурский доллар|R01625|702|SGD|1|45,9958
03/01/2020|Сомони|R01670|972|TJS|10|63,8980
03/01/2020|Турецкая лира|R01700J|949|TRY|1|10,4148
03/01/2020|Новый туркменский манат|R01710A|934|TMT|1|17,7126
03/01/2020|Узбекских сумов|R01717|860|UZS|10000|65,1121
03/01/2020|Гривен|R01720|980|UAH|10|26,1205
03/01/2020|Чешских крон|R01760|203|CZK|10|27,3019
03/01/2020|Шведских крон|R01770|752|SEK|10|66,2930
03/01/2020|Швейцарский франк|R01775|756|CHF|1|63,8994
03/01/2020|Рэндов|R01810|710|ZAR|10|44,0839
03/01/2020|Вон|R01815|410|KRW|1000|53,5535
03/01/2020|Иен|R01820|392|JPY|100|56,9746
04/01/2020|Австралийский доллар|R01010|036|AUD|1|43,3835
04/01/2020|Азербайджанский манат|R01020A|944|AZN|1|36,4902
04/01/2020|Фунт стерлингов|R01035|826|GBP|1|81,3069
04/01/2020|Армянских драмов|R01060|051|AMD|100|12,9239
04/01/2020|Белорусский рубль|R01090B|933|BYN|1|29,3545
04/01/2020|Болгарский лев|R01100|975|BGN|1|35,4720
04/01/2020|Бразильский реал|R01115|986|BRL|1|15,4006
04/01/2020|Форинтов|R01135|348|HUF|100|20,9637
04/01/2020|Гонконгских долларов|R01200|344|HKD|10|79,5029
04/01/2020|Датских крон|R01215|208|DKK|10|92,8776
04/01/2020|Доллар США|R01235|840|USD|1|61,9057
04/01/2020|Евро|R01239|978|EUR|1|69,3777
04/01/2020|Индийских рупий|R01270|356|INR|100|86,8255
04/01/2020|Тенге|R01335|398|KZT|100|16,1665
04/01/2020|Канадский доллар|R01350|124|CAD|1|47,4446
04/01/2020|Сомов|R01370|417|KGS|100|88,6979
04/01/2020|Юаней|R01375|156|CNY|10|88,8696
04/01/2020|Молдавских леев|R01500|498|MDL|10|35,9917
04/01/2020|Норвежских крон|R01535|578|NOK|10|70,3834
04/01/2020|Злотый|R01565|985|PLN|1|16,3017
04/01/2020|Румынский лей|R01585F|946|RON|1|14,5005
04/01/2020|СДР (специальные права заимствования)|R01589|960|XDR|1|85,6051
04/01/2020|Сингапурский доллар|R01625|702|SGD|1|45,9958
04/01/2020|Сомони|R01670|972|TJS|10|63,8980
04/01/2020|Турецкая лира|R01700J|949|TRY|1|10,4148
04/01/2020|Новый туркменский манат|R01710A|934|TMT|1|17,7126
04/01/2020|Узбекских сумов|R01717|860|UZS|10000|65,1121
04/01/2020|Гривен|R01720|980|UAH|10|26,1205
04/01/2020|Чешских крон|R01760|203|CZK|10|27,3019
04/01/2020|Шведских крон|R01770|752|SEK|10|66,2930
04/01/2020|Швейцарский франк|R01775|756|CHF|1|63,8994
04/01/2020|Рэндов|R01810|710|ZAR|10|44,0839
04/01/2020|Вон|R01815|410|KRW|1000|53,5535
04/01/2020|Иен|R01820|392|JPY|100|56,9746
05/01/2020|Австралийский доллар|R01010|036|AUD|1|43,3835
05/01/2020|Азербайджанский манат|R01020A|944|AZN|1|36,4902
05/01/2020|Фунт стерлингов|R01035|826|GBP|1|81,3069
05/01/2020|Армянских драмов|R01060|051|AMD|100|12,9239
05/01/2020|Белорусский рубль|R01090B|933|BYN|1|29,3545
05/01/2020|Болгарский лев|R01100|975|BGN|1|35,4720
05/01/2020|Бразильский реал|R01115|986|BRL|1|15,4006
05/01/2020|Форинтов|R01135|348|HUF|100|20,9637
05/01/2020|Гонконгских долларов|R01200|344|HKD|10|79,5029
05/01/2020|Датских крон|R01215|208|DKK|10|92,8776
05/01/2020|Доллар США|R01235|840|USD|1|61,9057
05/01/2020|Евро|R01239|978|EUR|1|69,3777
05/01/2020|Индийских рупий|R01270|356|INR|100|86,8255
05/01/2020|Тенге|R01335|398|KZT|100|16,1665
05/01/2020|Канадский доллар|R01350|124|CAD|1|47,4446
05/01/2020|Сомов|R01370|417|KGS|100|88,6979
05/01/2020|Юаней|R01375|156|CNY|10|88,8696
05/01/2020|Молдавских леев|R01500|498|MDL|10|35,9917
05/01/2020|Норвежских крон|R01535|578|NOK|10|70,3834
05/01/2020|Злотый|R01565|985|PLN|1|16,3017
05/01/2020|Румынский лей|R01585F|946|RON|1|14,5005
05/01/2020|СДР (специальные права заимствования)|R01589|960|XDR|1|85,6051
05/01/2020|Сингапурский доллар|R01625|702|SGD|1|45,9958
05/01/2020|Сомони|R01670|972|TJS|10|63,8980
05/01/2020|Турецкая лира|R01700J|949|TRY|1|10,4148
05/01/2020|Новый туркменский манат|R01710A|934|TMT|1|17,7126
05/01/2020|Узбекских сумов|R01717|860|UZS|10000|65,1121
05/01/2020|Гривен|R01720|980|UAH|10|26,1205
05/01/2020|Чешских крон|R01760|203|CZK|10|27,3019
05/01/2020|Шведских крон|R01770|752|SEK|10|66,2930
05/01/2020|Швейцарский франк|R01775|756|CHF|1|63,8994
05/01/2020|Рэндов|R01810|710|ZAR|10|44,0839
